source_family,period,title,source_url,index_url,index_page
pbc_m2,2021-12,2021年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/216996c140a74b30a2595ec8a8f58ce3/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-10.html,10
pbc_m2,2022-01,2022年1月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/03855a5cd8494b8fa37f81b058a844fd/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-10.html,10
pbc_m2,2022-02,2022年2月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f8157ada86814e82a99d8629e07e0cba/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-9.html,9
pbc_m2,2022-03,2022年一季度金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b120f9b0d55f4bf995f9b77bcce41757/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-9.html,9
pbc_m2,2022-04,2022年4月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/356bd109230b48ae9013b790520a3425/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-9.html,9
pbc_m2,2022-05,2022年5月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/adc58e98876a43ac8f9a3f3ae9020178/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-9.html,9
pbc_m2,2022-06,2022年上半年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/5e5f733aaa0f44228c7a1aa1d807871d/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-9.html,9
pbc_m2,2022-07,2022年7月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/89a04f538b414573a827dd0666294e69/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-8.html,8
pbc_m2,2022-08,2022年8月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b2dfd3ad0adc4d3ca62f1adacea5fc09/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-8.html,8
pbc_m2,2022-09,2022年前三季度金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/fb30cb8791924291b5365d3e092bc803/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-8.html,8
pbc_m2,2022-10,2022年10月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/e15a1be918ed495488bf16af0fb7214f/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-8.html,8
pbc_m2,2022-11,2022年11月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/a0e7f0189181456d9fcde9ee5e423584/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-8.html,8
pbc_m2,2022-12,2022年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/568387ff70be457590732b5e044f8e18/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-7.html,7
pbc_m2,2023-01,2023年1月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1421ef5774954fd795d2e2312daf0470/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-7.html,7
pbc_m2,2023-02,2023年2月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/588b2401df5344f68b78d51b7396d743/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-7.html,7
pbc_m2,2023-03,2023年一季度金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/532709cd6dc346c6abd925556437511d/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-7.html,7
pbc_m2,2023-04,2023年4月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1bb8759c90de4353b2a93e00438375e3/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-7.html,7
pbc_m2,2023-05,2023年5月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/0755aafdab32428daa12f2cf682c81ba/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-6.html,6
pbc_m2,2023-06,2023年上半年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/33ed4f226f484e66a50446175026c639/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-6.html,6
pbc_m2,2023-07,2023年7月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/88fe2f6caa7d46e8ba029def777c7831/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-6.html,6
pbc_m2,2023-08,2023年8月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f30cb865aa774555bccb5ae49470007c/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-6.html,6
pbc_m2,2023-09,2023年前三季度金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/13726e91dd8d4423b12ec14955d6601a/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-6.html,6
pbc_m2,2023-10,2023年10月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/8393556d383747a3bc6ad513618ae523/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-5.html,5
pbc_m2,2023-11,2023年11月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b21be1ab65c94424a612a7666d605a1b/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-5.html,5
pbc_m2,2023-12,2023年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1a6fe9c99e0b4b3ba35bbd038ef8535c/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-5.html,5
pbc_m2,2024-01,2024年1月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/a46e2ace126b4c4391b512bf4bde01f9/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-5.html,5
pbc_m2,2024-02,2024年2月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/92d0ec2dadd140219750ffd27571ca1a/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-5.html,5
pbc_m2,2024-03,2024年3月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/5e836772302043d99354efa62c01029d/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-4.html,4
pbc_m2,2024-04,2024年4月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/755eb247554443c3aea852f0f11546a2/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-4.html,4
pbc_m2,2024-05,2024年5月金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b59c04b2e581418f9109dcdff76de699/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-4.html,4
pbc_m2,2024-06,2024年上半年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/25bd40fd26ae4b1488369f7df33ffc94/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/11871-4.html,4
